DistrictNCES,DistrictName,Control,PhysicalCity,PhysicalState,Enrollment,TeachingMethod,SportsParticipation,OnlineInstructionIncrease,NetworkInvestment,HardwareInvestment,StaffMaskPolicy,StudentMaskPolicy,StudentIllnessReturnPolicy,StudentIsolationArea,SchoolTemporaryShutdown,ParentOptOutClassroomTeaching,Population,Confirmed_Cases_Sept1_Nov17
102520,Muscle Shoals City School District,Public,Muscle Shoals,AL,3377.0,On Premises,Yes,Yes,Yes,Yes,Not required,Not required,Yes,Yes,Never closed,Yes,55241,17
102070,Lee County School District,Public,Opelika,AL,10038.0,Online Only,Unknown,Yes,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,164542,16
102070,Lee County School District,Public,Opelika,AL,10038.0,Online Only,Unknown,Yes,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,8857,7
102070,Lee County School District,Public,Opelika,AL,10038.0,Online Only,Unknown,Yes,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,29992,9
102070,Lee County School District,Public,Opelika,AL,10038.0,Online Only,Unknown,Yes,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,7403,11
2103270,Lee County School District,Public,Beattyville,KY,1032.0,Online Only,Yes,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,164542,16
2103270,Lee County School District,Public,Beattyville,KY,1032.0,Online Only,Yes,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,8857,7
2103270,Lee County School District,Public,Beattyville,KY,1032.0,Online Only,Yes,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,29992,9
2103270,Lee County School District,Public,Beattyville,KY,1032.0,Online Only,Yes,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,7403,11
2802550,Lee County School District,Public,Tupelo,MS,6887.0,Hybrid,Yes,Unknown,Pending,Pending,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,164542,16
2802550,Lee County School District,Public,Tupelo,MS,6887.0,Hybrid,Yes,Unknown,Pending,Pending,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,8857,7
2802550,Lee County School District,Public,Tupelo,MS,6887.0,Hybrid,Yes,Unknown,Pending,Pending,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,29992,9
2802550,Lee County School District,Public,Tupelo,MS,6887.0,Hybrid,Yes,Unknown,Pending,Pending,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,7403,11
4502670,Lee County School District,Public,Bishopville,SC,2422.0,Online Only,No,Unknown,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,164542,16
4502670,Lee County School District,Public,Bishopville,SC,2422.0,Online Only,No,Unknown,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,8857,7
4502670,Lee County School District,Public,Bishopville,SC,2422.0,Online Only,No,Unknown,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,29992,9
4502670,Lee County School District,Public,Bishopville,SC,2422.0,Online Only,No,Unknown,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,7403,11
5102190,Lee County School District,Public,Jonesville,VA,3866.0,Hybrid,No,Unknown,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,164542,16
5102190,Lee County School District,Public,Jonesville,VA,3866.0,Hybrid,No,Unknown,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,8857,7
5102190,Lee County School District,Public,Jonesville,VA,3866.0,Hybrid,No,Unknown,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,29992,9
5102190,Lee County School District,Public,Jonesville,VA,3866.0,Hybrid,No,Unknown,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,7403,11
102610,Opp City School District,Public,Opp,AL,1319.0,On Premises,No,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,37049,7
102635,Oxford City School District,Public,Oxford,AL,4111.0,Hybrid,Yes,Yes,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,113605,45
101050,Dale County School District,Public,Ozark,AL,3205.0,Hybrid,Yes,Unknown,Pending,Pending,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,49172,16
102880,Russell County School District,Public,Phenix City,AL,3580.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,17923,1
2105160,Russell County School District,Public,Jamestown,KY,3568.0,Hybrid,No,Yes,Yes,Pending,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,17923,1
5103420,Russell County School District,Public,Lebanon,VA,4439.0,Hybrid,No,Yes,Unknown,Yes,Required for all staff,Required for all students,Yes,Yes,Closed 6-14 days,Yes,17923,1
102760,Piedmont City School District,Public,Piedmont,AL,1285.0,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,113605,45
102760,Piedmont City School District,Public,Piedmont,AL,1285.0,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,14910,7
100900,Coosa County School District,Public,Rockford,AL,1100.0,Online Only,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Closed 6-14 days,No,10663,1
101590,Franklin County School District,Public,Russellville,AL,3925.0,Hybrid,Unknown,No,Yes,Yes,Required for all staff,Required for middle/high school students only,Yes,Yes,Closed 6-14 days,Yes,31362,6
101590,Franklin County School District,Public,Russellville,AL,3925.0,Hybrid,Unknown,No,Yes,Yes,Required for all staff,Required for middle/high school students only,Yes,Yes,Closed 6-14 days,Yes,23349,9
1200570,Franklin County School District,Public,Eastpoint,FL,1575.0,Hybrid,Yes,Unknown,Unknown,Unknown,Not required,Required for all students,Unknown,Yes,Closed indefinitely,Yes,31362,6
1200570,Franklin County School District,Public,Eastpoint,FL,1575.0,Hybrid,Yes,Unknown,Unknown,Unknown,Not required,Required for all students,Unknown,Yes,Closed indefinitely,Yes,23349,9
1302250,Franklin County School District,Public,Carnesville,GA,3780.0,Other,Yes,Yes,Yes,Yes,Not required,Not required,Unknown,Yes,Never closed,Yes,31362,6
1302250,Franklin County School District,Public,Carnesville,GA,3780.0,Other,Yes,Yes,Yes,Yes,Not required,Not required,Unknown,Yes,Never closed,Yes,23349,9
2102010,Franklin County School District,Public,Frankfort,KY,7157.0,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Unknown,Unknown,Yes,Never closed,Yes,31362,6
2102010,Franklin County School District,Public,Frankfort,KY,7157.0,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Unknown,Unknown,Yes,Never closed,Yes,23349,9
2801530,Franklin County School District,Public,Meadville,MS,1675.0,Hybrid,Yes,Unknown,Pending,Pending,Required for all staff,Required for all students,Yes,Unknown,Never closed,No,31362,6
2801530,Franklin County School District,Public,Meadville,MS,1675.0,Hybrid,Yes,Unknown,Pending,Pending,Required for all staff,Required for all students,Yes,Unknown,Never closed,No,23349,9
3701530,Franklin County School District,Public,Louisburg,NC,8464.0,Online Only,No,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,31362,6
3701530,Franklin County School District,Public,Louisburg,NC,8464.0,Online Only,No,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,23349,9
102910,Russellville City School District,Public,Russellville,AL,2546.0,Hybrid,Unknown,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Yes,31362,6
101830,Jackson County School District,Public,Scottsboro,AL,6030.0,Hybrid,Yes,Unknown,Yes,Yes,Pending,Not required,Unknown,Yes,Never closed,Yes,51626,17
101830,Jackson County School District,Public,Scottsboro,AL,6030.0,Hybrid,Yes,Unknown,Yes,Yes,Pending,Not required,Unknown,Yes,Never closed,Yes,16719,5
101830,Jackson County School District,Public,Scottsboro,AL,6030.0,Hybrid,Yes,Unknown,Yes,Yes,Pending,Not required,Unknown,Yes,Never closed,Yes,72977,25
101830,Jackson County School District,Public,Scottsboro,AL,6030.0,Hybrid,Yes,Unknown,Yes,Yes,Pending,Not required,Unknown,Yes,Never closed,Yes,13329,2
513230,Jackson County School District,Public,Tuckerman,AR,965.0,On Premises,Yes,No,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,51626,17
513230,Jackson County School District,Public,Tuckerman,AR,965.0,On Premises,Yes,No,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,16719,5
513230,Jackson County School District,Public,Tuckerman,AR,965.0,On Premises,Yes,No,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,72977,25
513230,Jackson County School District,Public,Tuckerman,AR,965.0,On Premises,Yes,No,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,13329,2
2802160,Jackson County School District,Public,Vancleave,MS,9741.0,Hybrid,Unknown,Unknown,No,Unknown,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,51626,17
2802160,Jackson County School District,Public,Vancleave,MS,9741.0,Hybrid,Unknown,Unknown,No,Unknown,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,16719,5
2802160,Jackson County School District,Public,Vancleave,MS,9741.0,Hybrid,Unknown,Unknown,No,Unknown,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,72977,25
2802160,Jackson County School District,Public,Vancleave,MS,9741.0,Hybrid,Unknown,Unknown,No,Unknown,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,13329,2
3702340,Jackson County School District,Public,Sylva,NC,3852.0,Hybrid,Yes,Yes,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,51626,17
3702340,Jackson County School District,Public,Sylva,NC,3852.0,Hybrid,Yes,Yes,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,16719,5
3702340,Jackson County School District,Public,Sylva,NC,3852.0,Hybrid,Yes,Yes,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,72977,25
3702340,Jackson County School District,Public,Sylva,NC,3852.0,Hybrid,Yes,Yes,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,13329,2
4702070,Jackson County School District,Public,Gainesboro,TN,1620.0,On Premises,Yes,Unknown,Unknown,Yes,Required for all staff,Required for all students,Yes,Unknown,Unknown,Yes,51626,17
4702070,Jackson County School District,Public,Gainesboro,TN,1620.0,On Premises,Yes,Unknown,Unknown,Yes,Required for all staff,Required for all students,Yes,Unknown,Unknown,Yes,16719,5
4702070,Jackson County School District,Public,Gainesboro,TN,1620.0,On Premises,Yes,Unknown,Unknown,Yes,Required for all staff,Required for all students,Yes,Unknown,Unknown,Yes,72977,25
4702070,Jackson County School District,Public,Gainesboro,TN,1620.0,On Premises,Yes,Unknown,Unknown,Yes,Required for all staff,Required for all students,Yes,Unknown,Unknown,Yes,13329,2
101110,Dallas County School District,Public,Selma,AL,3743.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Unknown,Never closed,Yes,37196,5
102970,Selma City School District,Public,Selma,AL,3463.0,Online Only,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,37196,5
103000,Sheffield City School District,Public,Sheffield,AL,1155.0,Other,No,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,55241,17
103240,Tallassee City School District,Public,Tallassee,AL,1745.0,Hybrid,Yes,No,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,81209,18
103330,Troy City School District,Public,Troy,AL,2247.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,106987,22
3628950,Troy City School District,Public,Troy,NY,4248.0,Hybrid,Yes,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Yes,106987,22
3904492,Troy City School District,Public,Troy,OH,4397.0,Hybrid,Yes,Yes,Unknown,Yes,Unknown,Required for high school students only,Unknown,Unknown,Unknown,Yes,106987,22
103420,Tuscumbia City School District,Public,Tuscumbia,AL,1968.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,55241,17
101950,Lamar County School District,Public,Vernon,AL,2675.0,Other,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,13805,5
101950,Lamar County School District,Public,Vernon,AL,2675.0,Other,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,19077,9
101950,Lamar County School District,Public,Vernon,AL,2675.0,Other,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,55535,17
1303210,Lamar County School District,Public,Barnesville,GA,2690.0,Hybrid,Yes,Yes,Yes,Yes,Not required,Not required,Yes,Unknown,Pending,Yes,13805,5
1303210,Lamar County School District,Public,Barnesville,GA,2690.0,Hybrid,Yes,Yes,Yes,Yes,Not required,Not required,Yes,Unknown,Pending,Yes,19077,9
1303210,Lamar County School District,Public,Barnesville,GA,2690.0,Hybrid,Yes,Yes,Yes,Yes,Not required,Not required,Yes,Unknown,Pending,Yes,55535,17
2802400,Lamar County School District,Public,Purvis,MS,10999.0,Online Only,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Unknown,13805,5
2802400,Lamar County School District,Public,Purvis,MS,10999.0,Online Only,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Unknown,19077,9
2802400,Lamar County School District,Public,Purvis,MS,10999.0,Online Only,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Unknown,55535,17
103430,Vestavia Hills City School District,Public,Vestavia Hills,AL,6935.0,Hybrid,Yes,Unknown,Unknown,Yes,Pending,Pending,Pending,Pending,Pending,Yes,658573,177
103540,Winfield City School District,Public,Winfield,AL,1269.0,Hybrid,Yes,No,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,16302,9
103540,Winfield City School District,Public,Winfield,AL,1269.0,Hybrid,Yes,No,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,29709,5
506690,Centerpoint School District,Public,Amity,AR,973.0,Hybrid,Yes,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,22320,5
506690,Centerpoint School District,Public,Amity,AR,973.0,Hybrid,Yes,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,99386,64
506690,Centerpoint School District,Public,Amity,AR,973.0,Hybrid,Yes,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,33771,20
502670,Augusta School District,Public,Augusta,AR,361.0,Hybrid,Unknown,Yes,Unknown,No,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,6701,4
5500630,Augusta School District,Public,Augusta,WI,615.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,6701,4
502700,Bald Knob School District,Public,Bald Knob,AR,1385.0,Hybrid,Yes,Pending,Pending,Pending,Required for all staff,Required for middle/high school students only,Yes,Yes,Unknown,Yes,16719,5
500019,Batesville School District,Public,Batesville,AR,2913.0,Hybrid,Yes,No,Yes,No,Pending,Pending,Pending,Pending,Pending,Pending,37825,62
502820,Bay School District,Public,Bay,AR,597.0,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Closed indefinitely,Yes,110332,54
507320,Harmony Grove School District,Public,Benton,AR,1292.0,Hybrid,Yes,No,Yes,No,Required for all staff,Required for middle/high school students only,Unknown,Unknown,Closed indefinitely,Yes,22320,5
507320,Harmony Grove School District,Public,Benton,AR,1292.0,Hybrid,Yes,No,Yes,No,Required for all staff,Required for middle/high school students only,Unknown,Unknown,Closed indefinitely,Yes,7009,4
503300,Blevins School District,Public,Blevins,AR,535.0,Hybrid,Yes,Unknown,Unknown,Yes,Not required,Not required,Yes,Yes,Never closed,Yes,21532,3
503300,Blevins School District,Public,Blevins,AR,535.0,Hybrid,Yes,Unknown,Unknown,Yes,Not required,Not required,Yes,Yes,Never closed,Yes,8252,2
503320,Blytheville School District,Public,Blytheville,AR,2155.0,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,40651,55
503450,Booneville School District,Public,Booneville,AR,1241.0,On Premises,Yes,Yes,Unknown,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,21466,5
503450,Booneville School District,Public,Booneville,AR,1241.0,On Premises,Yes,Yes,Unknown,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,25126,11
2800820,Booneville School District,Public,Booneville,MS,1275.0,Online Only,Yes,Yes,No,No,Required for all staff,Required for all students,Yes,No,Never closed,Yes,21466,5
2800820,Booneville School District,Public,Booneville,MS,1275.0,Online Only,Yes,Yes,No,No,Required for all staff,Required for all students,Yes,No,Never closed,Yes,25126,11
503480,Bradford School District,Public,Bradford,AR,525.0,Hybrid,Yes,Yes,Yes,Yes,Pending,Pending,Pending,Pending,Pending,Pending,16719,5
504740,County Line School District,Public,Branch,AR,480.0,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Unknown,Never closed,Yes,17715,4
